question_id,module,section,subtopic,difficulty,before_key_chars,before_mean_distractor_chars,before_advantage,before_key_longest,before_key_rank,after_key_chars,after_mean_distractor_chars,after_advantage,after_key_longest,after_key_rank,distractor_feedback
q-m9-006,balancing,m9-reserves-interchange,1b,recall,124,39.3,84.7,YES,1,172,168.0,4.0,no,2,3
q-p2-025,comms-coord,m7-directives-fallback,6c,application,109,24.7,84.3,YES,1,163,151.0,12.0,YES,1,3
q-em-024,emergency-ops,m5-degraded,4e,application,117,33.0,84.0,YES,1,171,159.0,12.0,YES,1,3
q-f-033,foundations,f-limits,2a,recall,117,33.0,84.0,YES,1,171,159.0,12.0,YES,1,3
q-em-005,emergency-ops,m5-weather-gmd,3b,analysis,113,29.3,83.7,YES,1,161,157.0,4.0,no,2,3
q-m1-004,transmission-ops,m1-protection,2a,recall,116,33.3,82.7,YES,1,163,162.0,1.0,no,3,3
q-m3-010,operating-limits,m3-sol-irol,5e,application,108,26.0,82.0,YES,1,156,152.0,4.0,no,2,3
q-m9-005,balancing,m9-agc-ace,1d,recall,114,32.0,82.0,YES,1,168,156.0,12.0,YES,1,3
q-b9-02,operating-limits,m3-network-tools,5b,application,129,47.7,81.3,YES,1,183,171.0,12.0,YES,1,3
q-em-008,emergency-ops,m5-weather-gmd,3b,application,114,33.0,81.0,YES,1,168,156.0,12.0,YES,1,3
q-b8-m2,comms-coord,m7-data-validity,6c,analysis,104,23.7,80.3,YES,1,158,146.0,12.0,YES,1,3
q-em-020,emergency-ops,m5-capacity,4c,analysis,112,31.7,80.3,YES,1,166,154.0,12.0,YES,1,3
q-p2-016,emergency-ops,m5-operating-plan-tabletop,4d,recall,124,44.0,80.0,YES,1,160,172.0,-12.0,no,4,3
q-m1-003,transmission-ops,m1-protection,2a,analysis,116,36.7,79.3,YES,1,164,160.0,4.0,no,2,3
q-m3-011,operating-limits,m3-response,5e,analysis,111,32.3,78.7,YES,1,158,157.0,1.0,no,3,3
q-m4-006,protection,m4-ras-misop,2a,application,129,51.0,78.0,YES,1,183,171.0,12.0,YES,1,3
q-m9-011,balancing,m9-generation-sources,1h,analysis,113,35.0,78.0,YES,1,160,159.0,1.0,no,3,3
q-m6-001,restoration,m6-restoration,4a,recall,117,39.7,77.3,YES,1,153,165.0,-12.0,no,4,3
q-m1-009,transmission-ops,m1-limits-realtime,2e,application,115,38.7,76.3,YES,1,151,163.0,-12.0,no,4,3
q-p2-013,emergency-ops,m5-operating-plan-tabletop,3a,application,115,39.0,76.0,YES,1,169,157.0,12.0,YES,1,3
q-b9-06,comms-coord,m7-reporting,6a,recall,127,52.0,75.0,YES,1,181,169.0,12.0,YES,1,3
q-em-021,emergency-ops,m5-capacity,4c,application,110,35.3,74.7,YES,1,158,154.0,4.0,no,2,3
q-m3-006,operating-limits,m3-response,5c,application,108,34.7,73.3,YES,1,156,152.0,4.0,no,2,3
q-m9-037,balancing,m9-generation-sources,1g,application,118,44.7,73.3,YES,1,166,162.0,4.0,no,2,3
q-b8-p1,emergency-ops,m5-prep-planning,3a,application,103,30.0,73.0,YES,1,151,147.0,4.0,no,2,3
q-m3-004,operating-limits,m3-network-tools,5b,recall,101,28.0,73.0,YES,1,137,149.0,-12.0,no,4,3
q-m9-007,balancing,m9-reserves-interchange,1b,application,96,23.0,73.0,YES,1,143,142.0,1.0,no,3,3
q-m7-001,comms-coord,m7-three-part,6b,application,102,29.3,72.7,YES,1,138,150.0,-12.0,no,4,3
q-m1-010,transmission-ops,m1-limits-realtime,2e,analysis,100,27.7,72.3,YES,1,154,142.0,12.0,YES,1,3
q-p2-008,operating-limits,m3-ratings-to-action,2e,recall,114,41.7,72.3,YES,1,150,162.0,-12.0,no,4,3
q-b8-b3,balancing,m9-generation-sources,1g,recall,95,23.0,72.0,YES,1,131,143.0,-12.0,no,4,3
q-m1-006,transmission-ops,m1-switching,2d,recall,107,35.7,71.3,YES,1,161,149.0,12.0,YES,1,3
q-p2-007,voltage-reactive,m2-control-devices,2b,analysis,109,37.7,71.3,YES,1,156,155.0,1.0,no,3,3
q-em-016,emergency-ops,m5-disturbances,4b,analysis,113,42.0,71.0,YES,1,167,155.0,12.0,YES,1,3
q-m1-008,transmission-ops,m1-limits-realtime,2e,analysis,103,33.3,69.7,YES,1,150,149.0,1.0,no,3,3
q-m7-003,comms-coord,m7-reporting,6a,application,107,37.7,69.3,YES,1,155,151.0,4.0,no,2,3
q-m7-007,comms-coord,m7-data-validity,6c,recall,109,40.3,68.7,YES,1,157,153.0,4.0,no,2,3
q-p2-021,operating-limits,m3-ratings-to-action,5d,recall,87,18.7,68.3,YES,1,141,129.0,12.0,YES,1,3
q-m1-001,transmission-ops,m1-protection,2a,recall,99,31.3,67.7,YES,1,135,147.0,-12.0,no,4,3
q-m4-001,protection,m4-relaying,2a,application,93,25.7,67.3,YES,1,147,135.0,12.0,YES,1,3
q-m3-005,operating-limits,m3-network-tools,5b,analysis,99,32.0,67.0,YES,1,153,141.0,12.0,YES,1,3
q-em-018,emergency-ops,m5-disturbances,4b,application,91,25.0,66.0,YES,1,138,137.0,1.0,no,3,3
q-m9-017,balancing,m9-reserves-interchange,1b,application,108,42.3,65.7,YES,1,155,154.0,1.0,no,3,3
q-p2-019,operating-limits,m3-ratings-to-action,5a,analysis,107,41.3,65.7,YES,1,154,153.0,1.0,no,3,3
q-b9-05,emergency-ops,m5-weather-gmd,3b,application,111,45.7,65.3,YES,1,147,159.0,-12.0,no,4,3
q-em-012,restoration,m6-restoration,4a,application,86,22.0,64.0,YES,1,140,128.0,12.0,YES,1,3
q-b8-r2,emergency-ops,m5-capacity,4c,application,86,23.0,63.0,YES,1,134,130.0,4.0,no,2,3
q-f-034,foundations,f-limits,5c,analysis,115,52.0,63.0,YES,1,163,159.0,4.0,no,2,3
q-em-027,emergency-ops,m5-disturbances,4b,application,100,37.7,62.3,YES,1,148,144.0,4.0,no,2,3
q-m3-014,operating-limits,m3-response,5c,analysis,120,58.0,62.0,YES,1,167,166.0,1.0,no,3,3
q-m1-005,transmission-ops,m1-switching,2d,application,97,35.7,61.3,YES,1,133,145.0,-12.0,no,4,3
q-m4-003,protection,m4-coordination,2a,recall,82,22.3,59.7,YES,1,129,128.0,1.0,no,3,3
q-p1-3c-003,emergency-ops,m5-capacity,3c,application,115,55.3,59.7,YES,1,162,161.0,1.0,no,3,3
q-m3-012,operating-limits,m3-contingency-analysis,5d,analysis,106,47.0,59.0,YES,1,154,150.0,4.0,no,2,3
q-em-003,emergency-ops,m5-prep-planning,3a,application,90,31.3,58.7,YES,1,126,138.0,-12.0,no,4,3
q-m9-010,balancing,m9-generation-sources,1g,application,82,23.7,58.3,YES,1,130,126.0,4.0,no,2,3
q-m9-039,balancing,m9-generation-sources,1h,application,92,33.7,58.3,YES,1,128,140.0,-12.0,no,4,3
q-m7-005,comms-coord,m7-data-validity,6c,analysis,100,42.7,57.3,YES,1,136,148.0,-12.0,no,4,3
q-em-011,restoration,m6-restoration,4a,recall,90,33.0,57.0,YES,1,126,138.0,-12.0,no,4,3
q-m3-015,operating-limits,m3-contingency-analysis,5a,analysis,91,34.3,56.7,YES,1,127,139.0,-12.0,no,4,3
q-p2-031,balancing,m8-interchange-recovery,1c,analysis,107,50.3,56.7,YES,1,154,153.0,1.0,no,3,3
q-m9-018,balancing,m9-reserves-interchange,1a,application,111,55.0,56.0,YES,1,165,153.0,12.0,YES,1,3
q-b8-p2,emergency-ops,m5-weather-gmd,3b,application,86,30.3,55.7,YES,1,133,132.0,1.0,no,3,3
q-m3-003,operating-limits,m3-network-tools,5b,recall,83,27.3,55.7,YES,1,130,129.0,1.0,no,3,3
q-b8-c2,operating-limits,m3-response,5c,application,82,26.7,55.3,YES,1,136,124.0,12.0,YES,1,3
q-em-010,emergency-ops,m5-capacity,3c,recall,84,28.7,55.3,YES,1,131,130.0,1.0,no,3,3
q-p2-024,comms-coord,m7-directives-fallback,6c,analysis,93,37.7,55.3,YES,1,129,141.0,-12.0,no,4,3
q-m9-038,balancing,m9-generation-sources,1h,analysis,94,39.0,55.0,YES,1,141,140.0,1.0,no,3,3
q-m1-013,transmission-ops,m1-powerflow,2f,application,85,30.3,54.7,YES,1,121,133.0,-12.0,no,4,3
q-m4-004,protection,m4-ras-misop,2a,application,78,23.3,54.7,YES,1,114,126.0,-12.0,no,4,3
q-m9-020,balancing,m9-reserves-interchange,1b,application,94,39.3,54.7,YES,1,142,138.0,4.0,no,2,3
q-p2-030,balancing,m8-interchange-recovery,1b,application,81,26.3,54.7,YES,1,129,125.0,4.0,no,2,3
q-em-006,emergency-ops,m5-weather-gmd,3b,recall,79,24.7,54.3,YES,1,126,125.0,1.0,no,3,3
q-f-029,foundations,f-limits,5c,analysis,92,38.0,54.0,YES,1,146,134.0,12.0,YES,1,3
q-m6-002,restoration,m6-islanding,4a,application,102,48.0,54.0,YES,1,156,144.0,12.0,YES,1,3
q-m9-003,balancing,m9-agc-ace,1c,recall,75,21.0,54.0,YES,1,122,121.0,1.0,no,3,3
q-em-022,emergency-ops,m5-degraded,4d,recall,89,35.3,53.7,YES,1,136,135.0,1.0,no,3,3
q-m9-001,balancing,m9-balance-frequency,1e,recall,88,34.3,53.7,YES,1,142,130.0,12.0,YES,1,3
q-em-007,emergency-ops,m5-weather-gmd,3b,application,85,31.7,53.3,YES,1,121,133.0,-12.0,no,4,3
q-p2-029,balancing,m8-interchange-recovery,1a,analysis,103,49.7,53.3,YES,1,157,145.0,12.0,YES,1,3
q-m3-002,operating-limits,m3-contingency-analysis,5a,application,81,28.0,53.0,YES,1,129,125.0,4.0,no,2,3
q-m9-026,balancing,m9-reserves-interchange,1b,application,89,36.0,53.0,YES,1,136,135.0,1.0,no,3,3
q-f-022,foundations,f-power-in-practice,2c,application,84,31.7,52.3,YES,1,132,128.0,4.0,no,2,3
q-m2-004,voltage-reactive,m2-voltage-schedules,2b,recall,79,26.7,52.3,YES,1,126,125.0,1.0,no,3,3
q-em-025,emergency-ops,m5-degraded,4e,recall,76,24.0,52.0,YES,1,124,120.0,4.0,no,2,3
q-f-023,foundations,f-reading-oneline,2f,recall,84,32.0,52.0,YES,1,131,130.0,1.0,no,3,3
q-m9-009,balancing,m9-generation-sources,1f,recall,80,28.0,52.0,YES,1,134,122.0,12.0,YES,1,3
q-em-001,emergency-ops,m5-prep-planning,3a,recall,85,33.3,51.7,YES,1,133,129.0,4.0,no,2,3
q-p2-005,voltage-reactive,m2-control-devices,2b,application,90,38.3,51.7,YES,1,144,132.0,12.0,YES,1,3
q-p2-009,operating-limits,m3-ratings-to-action,5e,analysis,97,45.3,51.7,YES,1,151,139.0,12.0,YES,1,3
q-m1-015,transmission-ops,m1-powerflow,2c,analysis,98,47.3,50.7,YES,1,145,144.0,1.0,no,3,3
q-m2-006,voltage-reactive,m2-voltage-collapse,2b,analysis,113,62.7,50.3,YES,1,149,161.0,-12.0,no,4,3
q-m9-028,balancing,m9-agc-ace,1c,application,84,33.7,50.3,YES,1,138,126.0,12.0,YES,1,3
q-m1-011,transmission-ops,m1-limits-realtime,2e,application,82,32.0,50.0,YES,1,130,126.0,4.0,no,2,3
q-f-026,foundations,f-reading-oneline,2d,recall,76,27.0,49.0,YES,1,124,120.0,4.0,no,2,3
q-em-026,emergency-ops,m5-degraded,4e,recall,83,35.3,47.7,YES,1,130,129.0,1.0,no,3,3
q-m9-034,balancing,m9-generation-sources,1g,recall,73,25.3,47.7,YES,1,120,119.0,1.0,no,3,3
q-p2-023,comms-coord,m7-directives-fallback,6b,application,84,36.3,47.7,YES,1,131,130.0,1.0,no,3,3
q-p2-003,protection,m4-event-reconstruction,2a,analysis,73,26.0,47.0,YES,1,120,119.0,1.0,no,3,3
q-m1-012,transmission-ops,m1-equipment,2f,recall,69,22.3,46.7,YES,1,116,115.0,1.0,no,3,3
q-p2-011,transmission-ops,m1-ems-data-quality,5b,analysis,88,41.3,46.7,YES,1,135,134.0,1.0,no,3,3
q-p2-018,restoration,m6-restoration-constraints,4a,application,98,51.3,46.7,YES,1,146,142.0,4.0,no,2,3
q-m7-004,comms-coord,m7-data-validity,6c,application,83,36.7,46.3,YES,1,130,129.0,1.0,no,3,3
q-p2-004,protection,m4-event-reconstruction,2a,application,86,40.0,46.0,YES,1,122,134.0,-12.0,no,4,3
q-m9-002,balancing,m9-balance-frequency,1e,application,81,35.7,45.3,YES,1,129,125.0,4.0,no,2,3
q-b9-01,comms-coord,m7-three-part,6b,application,93,48.0,45.0,YES,1,129,141.0,-12.0,no,4,3
q-f-014,foundations,f-ac-basics,2b,analysis,109,64.0,45.0,YES,1,157,153.0,4.0,no,2,3
q-b8-r3,restoration,m6-islanding,4a,application,74,29.7,44.3,YES,1,121,120.0,1.0,no,3,3
q-f-035,foundations,f-limits,5d,recall,84,39.7,44.3,YES,1,131,130.0,1.0,no,3,3
q-m2-003,voltage-reactive,m2-reactive-sources,2b,application,77,33.0,44.0,YES,1,125,121.0,4.0,no,2,3
q-m9-029,balancing,m9-agc-ace,1c,analysis,74,30.0,44.0,YES,1,122,118.0,4.0,no,2,3
q-f-011,foundations,f-reliability-landscape,6a,recall,103,59.3,43.7,YES,1,150,149.0,1.0,no,3,3
q-m9-036,balancing,m9-generation-sources,1g,application,81,37.7,43.3,YES,1,135,123.0,12.0,YES,1,3
q-m4-002,protection,m4-coordination,2a,recall,84,41.0,43.0,YES,1,132,128.0,4.0,no,2,3
q-b9-04,emergency-ops,m5-capacity,4c,application,94,51.3,42.7,YES,1,141,140.0,1.0,no,3,3
q-b9-07,balancing,m9-generation-sources,1f,application,96,53.3,42.7,YES,1,144,140.0,4.0,no,2,3
q-m1-014,transmission-ops,m1-equipment,2f,analysis,83,40.7,42.3,YES,1,137,125.0,12.0,YES,1,3
q-em-013,restoration,m6-islanding,4a,analysis,75,33.3,41.7,YES,1,123,119.0,4.0,no,2,3
q-p2-022,operating-limits,m3-ratings-to-action,5e,recall,79,37.3,41.7,YES,1,127,123.0,4.0,no,2,3
q-em-009,emergency-ops,m5-capacity,3c,recall,65,24.0,41.0,YES,1,113,109.0,4.0,no,2,3
q-m9-004,balancing,m9-agc-ace,1d,analysis,70,29.0,41.0,YES,1,106,118.0,-12.0,no,4,3
q-m9-031,balancing,m9-generation-sources,1f,recall,74,33.7,40.3,YES,1,110,122.0,-12.0,no,4,3
q-p2-001,protection,m4-event-reconstruction,2a,application,73,32.7,40.3,YES,1,127,115.0,12.0,YES,1,3
q-p2-012,transmission-ops,m1-ems-data-quality,5b,application,84,44.0,40.0,YES,1,120,132.0,-12.0,no,4,3
q-em-004,emergency-ops,m5-prep-planning,3a,recall,63,23.7,39.3,YES,1,117,105.0,12.0,YES,1,3
q-m9-016,balancing,m9-agc-ace,1c,application,75,36.0,39.0,YES,1,129,117.0,12.0,YES,1,3
q-b8-c1,operating-limits,m3-contingency-analysis,5a,recall,73,34.3,38.7,YES,1,109,121.0,-12.0,no,4,3
q-f-016,foundations,f-units,2c,application,51,13.7,37.3,YES,1,87,99.0,-12.0,no,4,3
q-m9-014,balancing,m9-agc-ace,1d,application,81,44.0,37.0,YES,1,128,127.0,1.0,no,3,3
q-m3-001,operating-limits,m3-contingency-analysis,5a,recall,69,32.3,36.7,YES,1,122,110.0,12.0,YES,1,3
q-f-032,foundations,f-limits,5b,application,78,41.7,36.3,YES,1,114,126.0,-12.0,no,4,3
q-m9-021,balancing,m9-balance-frequency,1e,analysis,67,30.7,36.3,YES,1,114,113.0,1.0,no,3,3
q-st-001,standards,m8-how-standards-work,6a,recall,72,35.7,36.3,YES,1,126,114.0,12.0,YES,1,3
q-m2-007,voltage-reactive,m2-voltage-schedules,2b,application,73,37.0,36.0,YES,1,121,117.0,4.0,no,2,3
q-m9-030,balancing,m9-agc-ace,1c,application,81,45.3,35.7,YES,1,128,127.0,1.0,no,3,3
q-m9-015,balancing,m9-balance-frequency,1e,analysis,100,64.7,35.3,YES,1,136,148.0,-12.0,no,4,3
q-m9-022,balancing,m9-reserves-interchange,1a,recall,82,46.7,35.3,YES,1,129,128.0,1.0,no,3,3
q-f-004,foundations,f-ac-basics,2c,application,63,28.0,35.0,YES,1,99,111.0,-12.0,no,4,3
q-p1-3c-002,emergency-ops,m5-capacity,3c,analysis,110,75.0,35.0,YES,1,158,154.0,4.0,no,2,3
q-m9-008,balancing,m9-reserves-interchange,1a,application,58,23.7,34.3,YES,1,94,106.0,-12.0,no,4,3
q-m2-005,voltage-reactive,m2-voltage-collapse,2b,analysis,62,28.0,34.0,YES,1,98,110.0,-12.0,no,4,3
q-m9-035,balancing,m9-generation-sources,1g,recall,57,24.0,33.0,YES,1,93,105.0,-12.0,no,4,3
q-m7-006,comms-coord,m7-data-validity,6c,application,56,23.3,32.7,YES,1,110,98.0,12.0,YES,1,3
q-f-008,foundations,f-reliability-landscape,6b,application,93,60.7,32.3,YES,1,129,141.0,-12.0,no,4,3
q-b8-b1,balancing,m9-reserves-interchange,1a,recall,68,36.0,32.0,YES,1,116,112.0,4.0,no,2,3
q-m9-032,balancing,m9-generation-sources,1f,application,67,35.0,32.0,YES,1,121,109.0,12.0,YES,1,3
q-f-009,foundations,f-reliability-landscape,5e,application,99,67.3,31.7,YES,1,153,141.0,12.0,YES,1,3
q-m2-002,voltage-reactive,m2-reactive-sources,2b,application,64,33.7,30.3,YES,1,118,106.0,12.0,YES,1,3
q-m9-025,balancing,m9-reserves-interchange,1b,recall,80,50.0,30.0,YES,1,128,124.0,4.0,no,2,3
q-m2-001,voltage-reactive,m2-why-voltage,2b,recall,70,40.3,29.7,YES,1,106,118.0,-12.0,no,4,3
q-f-019,foundations,f-power-in-practice,2b,application,58,28.7,29.3,YES,1,105,104.0,1.0,no,3,3
q-em-023,emergency-ops,m5-degraded,4d,application,72,43.3,28.7,YES,1,108,120.0,-12.0,no,4,3
q-m9-033,balancing,m9-generation-sources,1f,analysis,64,35.3,28.7,YES,1,112,108.0,4.0,no,2,3
q-f-001,foundations,f-grid-anatomy,2c,recall,85,57.0,28.0,YES,1,139,127.0,12.0,YES,1,3
q-b8-m1,comms-coord,m7-reporting,6a,recall,47,19.3,27.7,YES,1,83,95.0,-12.0,no,4,3
q-m9-019,balancing,m9-agc-ace,1d,analysis,84,57.0,27.0,YES,1,138,126.0,12.0,YES,1,3
q-f-018,foundations,f-power-in-practice,2b,application,66,39.7,26.3,YES,1,114,110.0,4.0,no,2,3
q-em-002,emergency-ops,m5-prep-planning,3a,application,72,46.3,25.7,YES,1,119,118.0,1.0,no,3,3
q-p2-032,balancing,m8-interchange-recovery,1d,application,71,45.7,25.3,YES,1,107,119.0,-12.0,no,4,3
q-b8-r1,emergency-ops,m5-disturbances,4b,analysis,64,39.7,24.3,YES,1,118,106.0,12.0,YES,1,3
q-m9-027,balancing,m9-agc-ace,1c,recall,60,35.7,24.3,YES,1,96,108.0,-12.0,no,4,3
q-m9-023,balancing,m9-reserves-interchange,1a,application,57,33.3,23.7,YES,1,93,105.0,-12.0,no,4,3
q-f-013,foundations,f-grid-anatomy,2c,recall,85,62.3,22.7,YES,1,139,127.0,12.0,YES,1,3
q-f-021,foundations,f-power-in-practice,2b,recall,60,37.3,22.7,YES,1,114,102.0,12.0,YES,1,3
q-m3-009,operating-limits,m3-sol-irol,5d,recall,44,22.0,22.0,YES,1,98,86.0,12.0,YES,1,3
q-f-005,foundations,f-ac-basics,2b,application,67,45.3,21.7,YES,1,121,109.0,12.0,YES,1,3
q-m9-024,balancing,m9-reserves-interchange,1a,analysis,68,46.3,21.7,YES,1,122,110.0,12.0,YES,1,3
q-p2-026,transmission-ops,m1-ems-data-quality,6d,recall,45,24.0,21.0,YES,1,93,89.0,4.0,no,2,3
q-f-028,foundations,f-limits,5a,application,53,32.7,20.3,YES,1,89,101.0,-12.0,no,4,3
q-f-006,foundations,f-ac-basics,2b,analysis,69,50.7,18.3,YES,1,117,113.0,4.0,no,2,3
q-f-031,foundations,f-limits,5d,recall,49,31.3,17.7,YES,1,96,95.0,1.0,no,3,3
q-f-002,foundations,f-grid-anatomy,2f,recall,69,53.7,15.3,YES,1,117,113.0,4.0,no,2,3
q-f-017,foundations,f-units,2c,recall,32,17.7,14.3,YES,1,86,74.0,12.0,YES,1,3
q-m9-013,balancing,m9-agc-ace,1d,analysis,41,27.0,14.0,YES,1,89,85.7,3.3,no,2,3
q-p2-028,balancing,m8-interchange-recovery,1a,application,47,34.3,12.7,YES,1,83,95.0,-12.0,no,4,3
q-f-025,foundations,f-reading-oneline,2d,application,55,43.0,12.0,YES,1,109,97.0,12.0,YES,1,3
q-p2-006,voltage-reactive,m2-control-devices,2b,recall,33,22.0,11.0,YES,1,81,77.0,4.0,no,2,3
q-f-027,foundations,f-reading-oneline,2d,application,27,18.7,8.3,YES,1,74,75.0,-1.0,no,3,3
q-f-020,foundations,f-power-in-practice,2c,analysis,47,39.0,8.0,YES,1,83,95.3,-12.3,no,4,3
q-f-010,foundations,f-reliability-landscape,5a,recall,65,58.0,7.0,no,2,120,116.0,4.0,no,2,3
q-m1-007,transmission-ops,m1-limits-realtime,2e,application,33,28.7,4.3,YES,1,81,78.7,2.3,no,2,3
q-f-012,foundations,f-reliability-landscape,6b,application,47,43.3,3.7,no,2,94,101.0,-7.0,no,4,3
q-f-024,foundations,f-reading-oneline,2f,recall,17,13.3,3.7,no,2,55,67.0,-12.0,no,4,3
q-p2-027,balancing,m8-interchange-recovery,1a,recall,21,17.7,3.3,no,2,68,69.0,-1.0,no,3,3
q-f-007,foundations,f-reliability-landscape,6b,recall,28,25.0,3.0,YES,1,75,76.3,-1.3,no,3,3
q-m3-008,operating-limits,m3-sol-irol,5d,recall,31,28.3,2.7,YES,1,67,80.0,-13.0,no,4,3
q-b8-b2,balancing,m9-balance-frequency,1e,application,23,21.3,1.7,no,2,70,73.0,-3.0,no,3,3
q-p2-002,protection,m4-event-reconstruction,2a,recall,23,22.3,0.7,no,2,73,70.7,2.3,no,2,3
q-f-015,foundations,f-units,2c,recall,6,5.7,0.3,no,2,53,54.0,-1.0,no,3,3
q-p2-015,emergency-ops,m5-operating-plan-tabletop,4c,application,29,28.7,0.3,no,2,76,79.0,-3.0,no,3,3
q-st-002,standards,m8-operations-families,2e,recall,3,3.0,0.0,YES,1,51,48.7,2.3,no,2,3
q-st-003,standards,m8-operations-families,6b,recall,3,3.0,0.0,YES,1,50,49.0,1.0,no,3,3
q-st-004,standards,m8-operations-families,4a,application,3,3.0,0.0,YES,1,39,52.7,-13.7,no,4,3
q-st-005,standards,m8-support-families,5d,recall,3,3.0,0.0,YES,1,57,46.7,10.3,YES,1,3
q-p2-010,transmission-ops,m1-ems-data-quality,2f,recall,3,5.3,-2.3,no,2,58,54.0,4.0,no,2,3
q-p1-3c-001,emergency-ops,m5-capacity,3c,application,6,11.0,-5.0,no,2,75,64.7,10.3,YES,1,3
q-m9-012,balancing,m9-generation-sources,1h,recall,16,25.7,-9.7,no,4,65,77.0,-12.0,no,4,3
q-f-003,foundations,f-ac-basics,1e,recall,23,34.3,-11.3,no,3,89,93.0,-4.0,no,3,3
q-r32-1f-001,balancing,m9-generation-sources,1f,analysis,,,,,,187,199.0,-12.0,no,4,3
q-r32-1h-001,balancing,m9-generation-sources,1h,analysis,,,,,,199,211.0,-12.0,no,4,3
q-r32-1h-002,balancing,m9-generation-sources,1h,application,,,,,,177,165.0,12.0,YES,1,3
q-r32-2d-001,transmission-ops,m1-switching,2d,analysis,,,,,,193,189.0,4.0,no,2,3
q-r32-4c-001,emergency-ops,m5-capacity,4c,application,,,,,,216,215.0,1.0,no,3,3
q-r32-4d-001,emergency-ops,m5-degraded,4d,application,,,,,,205,193.0,12.0,YES,1,3
q-r32-4d-002,emergency-ops,m5-degraded,4d,analysis,,,,,,210,206.0,4.0,no,2,3
q-r32-4d-003,emergency-ops,m5-degraded,4d,application,,,,,,186,185.0,1.0,no,3,3
q-r32-4d-004,emergency-ops,m5-degraded,4d,analysis,,,,,,189,201.0,-12.0,no,4,3
q-r32-4e-001,emergency-ops,m5-degraded,4e,application,,,,,,191,179.0,12.0,YES,1,3
q-r32-4e-002,emergency-ops,m5-degraded,4e,analysis,,,,,,217,213.0,4.0,no,2,3
q-r32-4e-003,transmission-ops,m1-ems-data-quality,4e,analysis,,,,,,162,161.0,1.0,no,3,3
q-r32-6d-001,comms-coord,m7-telemetry-equip,6d,application,,,,,,189,177.0,12.0,YES,1,3
q-r32-6d-002,comms-coord,m7-telemetry-equip,6d,analysis,,,,,,157,153.0,4.0,no,2,3
q-r32-6d-003,comms-coord,m7-telemetry-equip,6d,application,,,,,,184,183.0,1.0,no,3,3
q-r32-6d-004,transmission-ops,m1-ems-data-quality,6d,analysis,,,,,,164,176.0,-12.0,no,4,3
